condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image_number,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
4_con_totaldot,0.25,4,0,0,0,9,,,119.43533291702624,4_con_totaldot_image_60.png,60,121.68309910844545,121.93219909621402,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
6_con_totaldot,0.25,6,0,1,1,11,,,,6_con_totaldot_image_42.png,42,122.04124899657909,122.29660905422642,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_totaldot,0.25,1,0,2,2,6,,,,1_con_totaldot_image_38.png,38,122.40335078753996,122.65442847125232,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
6_con_singledot,0.25,6,0,3,3,5,,,,6_con_singledot_image_40.png,40,122.7624199544778,123.01334142920095,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
3_con_circum,0.25,3,0,4,4,14,,,,3_con_circum_image_25.png,25,123.11993453751784,123.37238455414771,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_circum,0.25,1,0,5,5,12,,,,1_con_circum_image_52.png,52,123.48009512149729,123.730498804152,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
5_con_singledot,0.25,5,0,6,6,4,,,,5_con_singledot_image_53.png,53,123.83703966247849,124.0874715541955,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
6_con_circum,0.25,6,0,7,7,17,,,,6_con_circum_image_48.png,48,124.19629757951479,124.44771563718095,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
3_con_singledot,0.25,3,0,8,8,2,,,,3_con_singledot_image_10.png,10,124.55514770450536,124.80415738725569,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
3_con_totaldot,0.25,3,0,9,9,8,,,,3_con_totaldot_image_68.png,68,124.91303591250907,125.16404788722284,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
4_con_circum,0.25,4,0,10,10,15,,,,4_con_circum_image_33.png,33,125.27070145455654,125.5221523462329,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
5_con_circum,0.25,5,0,11,11,16,,,,5_con_circum_image_68.png,68,125.62940912153572,125.88065417916513,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_totaldot,0.25,2,0,12,12,7,,,,2_con_totaldot_image_58.png,58,125.98727232946548,126.23813509617466,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_singledot,0.25,1,0,13,13,0,,,,1_con_singledot_image_15.png,15,126.34628420446533,126.59726851214654,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
5_con_totaldot,0.25,5,0,14,14,10,,,,5_con_totaldot_image_7.png,7,126.7039684125455,126.95510597121901,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_circum,0.25,2,0,15,15,13,,,,2_con_circum_image_50.png,50,127.06306582952384,127.3140802622307,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_singledot,0.25,2,0,16,16,1,,,,2_con_singledot_image_62.png,62,127.42251653755083,127.68085272123571,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
4_con_singledot,0.25,4,0,17,17,3,,,,4_con_singledot_image_48.png,48,127.78744916252326,128.03753938714507,2.wav,128.1392418750329,11.mp4,128.1392418750329,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
5_con_singledot,0.25,5,1,0,18,4,,,,5_con_singledot_image_58.png,58,129.98448343593626,130.23758942915592,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
4_con_circum,0.25,4,1,1,19,15,,,,4_con_circum_image_42.png,42,130.34589953750836,130.59687334615737,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_circum,0.25,1,1,2,20,12,,,,1_con_circum_image_7.png,7,130.70355953748802,130.95516238724812,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
4_con_totaldot,0.25,4,1,3,21,9,,,,4_con_totaldot_image_16.png,16,131.0629340374842,131.31436167915817,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
5_con_totaldot,0.25,5,1,4,22,10,,,,5_con_totaldot_image_9.png,9,131.4209409125149,131.6716418462107,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_circum,0.25,2,1,5,23,13,,,,2_con_circum_image_43.png,43,131.779077412514,132.03028613715432,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_singledot,0.25,2,1,6,24,1,,,,2_con_singledot_image_12.png,12,132.13686707948798,132.38818767925258,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_singledot,0.25,1,1,7,25,0,,,,1_con_singledot_image_29.png,29,132.49587116257752,132.74740280422847,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
3_con_circum,0.25,3,1,8,26,14,,,,3_con_circum_image_58.png,58,132.85400949646717,133.10373797118663,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
6_con_singledot,0.25,6,1,9,27,5,,,,6_con_singledot_image_42.png,42,133.21296245448755,133.4644292622339,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
1_con_totaldot,0.25,1,1,10,28,6,,,,1_con_totaldot_image_68.png,68,133.5709634124767,133.82166042914614,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
2_con_totaldot,0.25,2,1,11,29,7,,,,2_con_totaldot_image_61.png,61,133.9300595795037,134.18033459621947,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
3_con_singledot,0.25,3,1,12,30,2,,,,3_con_singledot_image_58.png,58,134.28701145453377,134.53860247114207,,,,,1,1,2024-10-28_18h31.36.691,visual,2024.1.5,120.43047788519208,
