condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
4_con_totaldot,0.25,4,0,0,0,9,,,117.96040424999956,4_con_totaldot_image_15.png,120.94350055000686,121.195714670507,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
6_con_circum,0.25,6,0,1,1,17,,,,6_con_circum_image_15.png,121.30789230451627,121.56245162950363,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
5_con_circum,0.25,5,0,2,2,16,,,,5_con_circum_image_15.png,121.6691340955207,121.91938458750955,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
4_con_circum,0.25,4,0,3,3,15,,,,4_con_circum_image_15.png,122.02836992951633,122.27911025449866,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
6_con_singledot,0.25,6,0,4,4,5,,,,6_con_singledot_image_15.png,122.38580009551369,122.63656979550142,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
5_con_singledot,0.25,5,0,5,5,4,,,,5_con_singledot_image_15.png,122.74520722051092,122.99576587949996,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
2_con_singledot,0.25,2,0,6,6,1,,,,2_con_singledot_image_15.png,123.10177955451071,123.35367496250255,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
2_con_totaldot,0.25,2,0,7,7,7,,,,2_con_totaldot_image_15.png,123.46195747051969,123.71598133750085,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
3_con_singledot,0.25,3,0,8,8,2,,,,3_con_singledot_image_15.png,123.82605188752349,124.07918150450568,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
3_con_totaldot,0.25,3,0,9,9,8,,,,3_con_totaldot_image_15.png,124.1864842625131,124.44706583750376,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
1_con_singledot,0.25,1,0,10,10,0,,,,1_con_singledot_image_15.png,124.56007492951757,124.8125628375099,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
2_con_circum,0.25,2,0,11,11,13,,,,2_con_circum_image_15.png,124.91936638751066,125.16995342050795,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
1_con_totaldot,0.25,1,0,12,12,6,,,,1_con_totaldot_image_15.png,125.27802776251919,125.52894633750547,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
6_con_totaldot,0.25,6,0,13,13,11,,,,6_con_totaldot_image_15.png,125.63626547052117,125.88731604550848,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
5_con_totaldot,0.25,5,0,14,14,10,,,,5_con_totaldot_image_15.png,125.99623613751318,126.25047067050473,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
3_con_circum,0.25,3,0,15,15,14,,,,3_con_circum_image_15.png,126.35795972051564,126.61282792051206,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
1_con_circum,0.25,1,0,16,16,12,,,,1_con_circum_image_15.png,126.7195409705222,126.96998896250152,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
4_con_singledot,0.25,4,0,17,17,3,,,,4_con_singledot_image_15.png,127.07851067951414,127.32966971250134,3.wav,127.42919375000929,15.mp4,127.42919375000929,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
3_con_singledot,0.25,3,1,0,18,2,,,,3_con_singledot_image_29.png,129.2467599875905,129.49599921250484,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
1_con_totaldot,0.25,1,1,1,19,6,,,,1_con_totaldot_image_29.png,129.60321572051035,129.85343300450478,,,,,1,1,2024-10-11_16h33.49.368,visual,2024.1.5,119.39894618080346,
