condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
5_con_circum,0.25,5,0,0,0,16,,,112.76488249999238,5_con_circum_image_53.png,114.82614732499934,115.07847280800925,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
6_con_circum,0.25,6,0,1,1,17,,,,6_con_circum_image_56.png,115.18631305003073,115.43601880799397,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
2_con_singledot,0.25,2,0,2,2,1,,,,2_con_singledot_image_58.png,115.54410313301487,115.79502630801872,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
3_con_totaldot,0.25,3,0,3,3,8,,,,3_con_totaldot_image_21.png,115.90135342501453,116.15283485002001,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
4_con_totaldot,0.25,4,0,4,4,9,,,,4_con_totaldot_image_28.png,116.26078367502778,116.51170860001585,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
1_con_circum,0.25,1,0,5,5,12,,,,1_con_circum_image_50.png,116.61798742502579,116.86996105799918,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
2_con_totaldot,0.25,2,0,6,6,7,,,,2_con_totaldot_image_68.png,116.97718638302759,117.22935489201919,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
6_con_totaldot,0.25,6,0,7,7,11,,,,6_con_totaldot_image_8.png,117.33570034201257,117.58598376700539,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
5_con_totaldot,0.25,5,0,8,8,10,,,,5_con_totaldot_image_53.png,117.69460755003384,117.945129517006,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
4_con_circum,0.25,4,0,9,9,15,,,,4_con_circum_image_46.png,118.05138396703406,118.30369168299367,,,,,1,1,2024-10-13_01h02.55.603,visual,2024.1.5,119.57812739544703,
