condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
3_con_rate,0.02,3,0,0,0,8,,,16.06866691680625,17.075515005085617,17.1003510880284,17.200026638712732,17.22364542102441,17.323320971708743,17.34718475472182,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
6_con_duration,0.02,6,0,1,1,5,,,,18.152895456086842,18.183728296123444,18.283403846807776,18.306518670916557,18.406194221600888,18.42827675472945,18.52795230541378,18.549445129744708,18.64912068042904,18.671707546152174,18.771383096836505,18.800324837956577,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
6_con_rate,0.02,6,0,2,2,11,,,,19.59772924343124,19.617591588106006,19.717267138790337,19.740460755117237,19.84013630580157,19.862824755068868,23.266406670957803,23.30049142083153,23.400166971515862,23.424005879834294,23.523681430518625,23.54591583814472,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
5_con_duration,0.044,5,0,3,3,4,,,,24.35162653950974,24.40055533805862,24.50023088874295,24.550565504748374,24.650241055432705,24.700503213144838,24.80017876382917,24.850472920853644,24.950148471537975,25.00049242079258,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
5_con_rate,0.02,5,0,4,4,10,,,,25.8062031221576,25.83383100507781,25.93350655576214,25.95647879578173,26.056154346466062,26.083800046052783,26.183475596737114,26.20629713013768,26.305972680822013,26.33379046274349,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
4_con_rate,0.02,4,0,5,5,9,,,,27.139501164108513,27.167126295901834,27.266801846586166,27.2902494629845,27.389925013668833,27.41215446293354,27.51183001361787,27.53502829587087,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
2_con_rate,0.02,2,0,6,6,7,,,,28.340738997235892,28.367181713040917,28.46685726372525,28.490015005040913,,,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
2_con_duration,0.26,2,0,7,7,1,,,,32.69434892088175,32.95638342089951,33.056058971583845,33.31770179588348,,,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
1_con_rate,0.02,1,0,8,8,6,,,,34.1234124972485,34.15063562970609,,,,,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
1_con_duration,0.62,1,0,9,9,0,,,,34.95634633107111,35.58466258812696,,,,,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
4_con_duration,0.08,4,0,10,10,3,,,,36.39037328949198,36.4726821298711,36.572357680555434,36.655861588008705,36.755537138693036,36.83944358797744,36.93911913866177,37.02276883814484,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
3_con_duration,0.14,3,0,11,11,2,,,,37.828479539509864,37.967686337698254,38.067361888382585,38.20642017088831,38.30609572157264,38.45106988009066,,,,,,,1.wav,39.24808279192075,12.mp4,39.24808279192075,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
2_con_rate,0.02,2,1,0,12,7,,,,41.087654868233955,41.117368212714794,41.217043763399126,41.2395925459452,,,,,,,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
5_con_rate,0.02,5,1,1,13,10,,,,42.04530324731022,42.06843212973327,42.1681076804176,42.20013725506142,42.29981280574575,42.32310508778319,42.42278063846752,42.45081154610962,42.55048709679395,42.57369163008407,,,,,,,1,1,2024-10-02_13h28.26.058,audio,2024.1.5,119.97522597470963,
