condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image_number,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
6_con_singledot,0.25,6,0,0,0,5,,,115.50212833296973,6_con_singledot_image_19.png,19,117.44168539994862,117.69252472049557,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_circum,0.25,5,0,1,1,16,,,,5_con_circum_image_27.png,27,117.80060891250615,118.05147176252213,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
6_con_totaldot,0.25,6,0,2,2,11,,,,6_con_totaldot_image_66.png,66,118.15820628756192,118.40907367847394,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
3_con_circum,0.25,3,0,3,3,14,,,,3_con_circum_image_31.png,31,118.51739353747108,118.7683196374448,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
2_con_singledot,0.25,2,0,4,4,1,,,,2_con_singledot_image_51.png,51,118.8748836624669,119.12627401242499,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
2_con_totaldot,0.25,2,0,5,5,7,,,,2_con_totaldot_image_13.png,13,119.23406295352616,119.4856470955303,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_totaldot,0.25,4,0,6,6,9,,,,4_con_totaldot_image_38.png,38,119.59214499548544,119.84181592850946,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
3_con_totaldot,0.25,3,0,7,7,8,,,,3_con_totaldot_image_55.png,55,119.95153770353646,120.20211672042497,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_singledot,0.25,5,0,8,8,4,,,,5_con_singledot_image_33.png,33,120.30863337046468,120.55927084542346,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_circum,0.25,4,0,9,9,15,,,,4_con_circum_image_63.png,63,120.66799641251565,120.91828805352561,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
1_con_totaldot,0.25,1,0,10,10,6,,,,1_con_totaldot_image_43.png,43,121.02496482853313,121.27571751251817,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_totaldot,0.25,5,0,11,11,10,,,,5_con_totaldot_image_15.png,15,121.38471070353408,121.63532092845999,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
2_con_circum,0.25,2,0,12,12,13,,,,2_con_circum_image_55.png,55,121.74184470346664,121.99240484547336,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
3_con_singledot,0.25,3,0,13,13,2,,,,3_con_singledot_image_48.png,48,122.10108007853852,122.35165622043424,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
1_con_circum,0.25,1,0,14,14,12,,,,1_con_circum_image_2.png,2,122.4582409535302,122.70996213743929,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
1_con_singledot,0.25,1,0,15,15,0,,,,1_con_singledot_image_44.png,44,122.81731053746772,123.06941147048492,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
6_con_circum,0.25,6,0,16,16,17,,,,6_con_circum_image_9.png,9,123.17543870352675,123.42661692847032,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_singledot,0.25,4,0,17,17,3,,,,4_con_singledot_image_63.png,63,123.53558199552354,123.78582426246722,1.wav,123.8858191659674,2.mp4,123.8858191659674,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_circum,0.25,4,1,0,18,15,,,,4_con_circum_image_20.png,20,125.74119118335658,125.99573967843317,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_singledot,0.25,5,1,1,19,4,,,,5_con_singledot_image_19.png,19,126.10315612053965,126.35257434546948,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
6_con_circum,0.25,6,1,2,20,17,,,,6_con_circum_image_31.png,31,126.4593420374673,126.70986997049768,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
6_con_singledot,0.25,6,1,3,21,5,,,,6_con_singledot_image_37.png,37,126.81732782851905,127.0684543875279,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_singledot,0.25,4,1,4,22,3,,,,4_con_singledot_image_33.png,33,127.17497337053065,127.42631659545005,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
3_con_circum,0.25,3,1,5,23,14,,,,3_con_circum_image_27.png,27,127.53400695349556,127.78575009542983,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
4_con_totaldot,0.25,4,1,6,24,9,,,,4_con_totaldot_image_51.png,51,127.89233870352619,128.14292809546458,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
3_con_singledot,0.25,3,1,7,25,2,,,,3_con_singledot_image_26.png,26,128.25079432853963,128.5017492624931,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_circum,0.25,5,1,8,26,16,,,,5_con_circum_image_44.png,44,128.60820245349313,128.85928767842705,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
5_con_totaldot,0.25,5,1,9,27,10,,,,5_con_totaldot_image_39.png,39,128.96846674547996,129.21910051249432,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
1_con_totaldot,0.25,1,1,10,28,6,,,,1_con_totaldot_image_60.png,60,129.3257975374814,129.5763717204565,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
1_con_circum,0.25,1,1,11,29,12,,,,1_con_circum_image_52.png,52,129.68452774549368,129.93556751245632,,,,,1,1,2024-10-28_16h45.51.295,visual,2024.1.5,120.18081263990995,
