condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
2_con_singledot,0.25,2,0,0,0,1,,,120.14031187500223,2_con_singledot_image_53.png,122.92418444102515,123.17602642850252,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
3_con_singledot,0.25,3,0,1,1,2,,,,3_con_singledot_image_45.png,123.28551132850698,123.53812401250471,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
5_con_singledot,0.25,5,0,2,2,4,,,,5_con_singledot_image_14.png,123.64701203750447,123.89718734552153,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
4_con_singledot,0.25,4,0,3,3,3,,,,4_con_singledot_image_66.png,124.00318282850203,124.2558988875011,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_circum,0.25,1,0,4,4,12,,,,1_con_circum_image_27.png,124.36340124551789,124.61455692852033,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
3_con_circum,0.25,3,0,5,5,14,,,,3_con_circum_image_33.png,124.72038453749265,124.97131572050276,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
4_con_circum,0.25,4,0,6,6,15,,,,4_con_circum_image_22.png,125.08020674549626,125.33134205351817,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_singledot,0.25,1,0,7,7,0,,,,1_con_singledot_image_6.png,125.43717753749225,125.68879676249927,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_singledot,0.25,6,0,8,8,5,,,,6_con_singledot_image_4.png,125.7962124534999,126.0482705535018,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_totaldot,0.25,6,0,9,9,11,,,,6_con_totaldot_image_11.png,126.15582312051556,126.4147098035086,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
4_con_totaldot,0.25,4,0,10,10,9,,,,4_con_totaldot_image_12.png,126.52044057850726,126.77306030350738,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
2_con_circum,0.25,2,0,11,11,13,,,,2_con_circum_image_53.png,126.88028570350725,127.13136847050046,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_circum,0.25,6,0,12,12,17,,,,6_con_circum_image_54.png,127.23733437051415,127.4877568035212,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
5_con_totaldot,0.25,5,0,13,13,10,,,,5_con_totaldot_image_1.png,127.59673349549412,127.84733630350675,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
5_con_circum,0.25,5,0,14,14,16,,,,5_con_circum_image_16.png,127.95340974549181,128.2049580535153,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
2_con_totaldot,0.25,2,0,15,15,7,,,,2_con_totaldot_image_48.png,128.31315674550135,128.5640268455085,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_totaldot,0.25,1,0,16,16,6,,,,1_con_totaldot_image_24.png,128.66996899551597,128.92177205350018,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
3_con_totaldot,0.25,3,0,17,17,8,,,,3_con_totaldot_image_13.png,129.03018024550985,129.28159205351258,5.wav,129.3807807500125,12.mp4,129.3807807500125,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
3_con_circum,0.25,3,1,0,18,14,,,,3_con_circum_image_30.png,131.2177649749676,131.47153651252157,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
5_con_totaldot,0.25,5,1,1,19,10,,,,5_con_totaldot_image_16.png,131.58034328751384,131.83183567852248,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
5_con_singledot,0.25,5,1,2,20,4,,,,5_con_singledot_image_24.png,131.93924641250052,132.18833655352356,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_singledot,0.25,6,1,3,21,5,,,,6_con_singledot_image_16.png,132.29696320351215,132.54806509550545,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
4_con_circum,0.25,4,1,4,22,15,,,,4_con_circum_image_29.png,132.65393649549807,132.906731428497,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_circum,0.25,6,1,5,23,17,,,,6_con_circum_image_36.png,133.0139612035011,133.26478751251707,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
6_con_totaldot,0.25,6,1,6,24,11,,,,6_con_totaldot_image_64.png,133.372054370516,133.62314747050405,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
3_con_singledot,0.25,3,1,7,25,2,,,,3_con_singledot_image_31.png,133.73056487051073,133.98186317852233,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_singledot,0.25,1,1,8,26,0,,,,1_con_singledot_image_43.png,134.0893680784968,134.34728034551372,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
2_con_circum,0.25,2,1,9,27,13,,,,2_con_circum_image_37.png,134.45330299549389,134.70637197050965,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_totaldot,0.25,1,1,10,28,6,,,,1_con_totaldot_image_12.png,134.8140302035201,135.06473605349893,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
2_con_singledot,0.25,2,1,11,29,1,,,,2_con_singledot_image_11.png,135.1719246205059,135.4215428454976,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
1_con_circum,0.25,1,1,12,30,12,,,,1_con_circum_image_17.png,135.53076641251684,135.78194117852254,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
2_con_totaldot,0.25,2,1,13,31,7,,,,2_con_totaldot_image_57.png,135.8893609125109,136.13847892851336,,,,,1,1,2024-10-14_17h50.20.807,visual,2024.1.5,120.5129634345996,
