condition,duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,image_name,image_number,image.started,image.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
6_con_totaldot,0.25,6,0,0,0,11,,,115.09433300001547,6_con_totaldot_image_54.png,54,116.96396608338691,117.22324008367723,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_circum,0.25,4,0,1,1,15,,,,4_con_circum_image_19.png,19,117.33016737623838,117.58649808367481,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_singledot,0.25,1,0,2,2,0,,,,1_con_singledot_image_19.png,19,117.69270225117215,117.94319070865167,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_totaldot,0.25,3,0,3,3,8,,,,3_con_totaldot_image_51.png,51,118.05110870922216,118.30257150066318,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_circum,0.25,5,0,4,4,16,,,,5_con_circum_image_62.png,62,118.41000879221828,118.66078758368967,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_totaldot,0.25,5,0,5,5,10,,,,5_con_totaldot_image_43.png,43,118.76853316723135,119.01990950073814,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_singledot,0.25,5,0,6,6,4,,,,5_con_singledot_image_35.png,35,119.12602533415192,119.37696991664124,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_circum,0.25,6,0,7,7,17,,,,6_con_circum_image_18.png,18,119.48514420915161,119.73622933368897,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_circum,0.25,2,0,8,8,13,,,,2_con_circum_image_31.png,31,119.84170245918212,120.09393945873016,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_singledot,0.25,6,0,9,9,5,,,,6_con_singledot_image_62.png,62,120.20160429218085,120.45303962567122,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_totaldot,0.25,1,0,10,10,6,,,,1_con_totaldot_image_20.png,20,120.5594468341791,120.8111804586486,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_circum,0.25,3,0,11,11,14,,,,3_con_circum_image_9.png,9,120.91805200119269,121.17003520870348,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_totaldot,0.25,4,0,12,12,9,,,,4_con_totaldot_image_18.png,18,121.27805550120537,121.5281611667131,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_circum,0.25,1,0,13,13,12,,,,1_con_circum_image_26.png,26,121.63624570918036,121.88645083365263,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_totaldot,0.25,2,0,14,14,7,,,,2_con_totaldot_image_35.png,35,121.99303150122286,122.24438337575411,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_singledot,0.25,4,0,15,15,3,,,,4_con_singledot_image_59.png,59,122.3521730421693,122.60261779174907,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_singledot,0.25,3,0,16,16,2,,,,3_con_singledot_image_18.png,18,122.70932512617436,122.9614721257356,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_singledot,0.25,2,0,17,17,1,,,,2_con_singledot_image_45.png,45,123.06853850119514,123.31936025073519,2.wav,123.4192292499356,15.mp4,123.4192292499356,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_circum,0.25,6,1,0,18,17,,,,6_con_circum_image_66.png,66,125.24084625437389,125.49388904172228,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_singledot,0.25,3,1,1,19,2,,,,3_con_singledot_image_57.png,57,125.60233841723529,125.85348316667368,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_singledot,0.25,5,1,2,20,4,,,,5_con_singledot_image_14.png,14,125.95981762619921,126.21006350069074,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_totaldot,0.25,6,1,3,21,11,,,,6_con_totaldot_image_40.png,40,126.31879700118442,126.57283595869085,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_circum,0.25,4,1,4,22,15,,,,4_con_circum_image_69.png,69,126.67910925116156,126.93701562565984,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_singledot,0.25,6,1,5,23,5,,,,6_con_singledot_image_47.png,47,127.04342533418675,127.29401604168815,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_singledot,0.25,2,1,6,24,1,,,,2_con_singledot_image_60.png,60,127.40134133425308,127.65267925070366,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_circum,0.25,5,1,7,25,16,,,,5_con_circum_image_13.png,13,127.75892416717251,128.01041429165053,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_totaldot,0.25,5,1,8,26,10,,,,5_con_totaldot_image_57.png,57,128.11876658423571,128.3698501256411,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_totaldot,0.25,1,1,9,27,6,,,,1_con_totaldot_image_47.png,47,128.47612904225244,128.7276764166425,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_circum,0.25,2,1,10,28,13,,,,2_con_circum_image_61.png,61,128.83629150121706,129.08675162565197,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_singledot,0.25,1,1,11,29,0,,,,1_con_singledot_image_41.png,41,129.19306337615708,129.4435322086909,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_circum,0.25,3,1,12,30,14,,,,3_con_circum_image_55.png,55,129.5525697921752,129.80275358365617,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
2_con_totaldot,0.25,2,1,13,31,7,,,,2_con_totaldot_image_37.png,37,129.9089809592464,130.16078675073805,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_singledot,0.25,4,1,14,32,3,,,,4_con_singledot_image_10.png,10,130.26856812617044,130.51985275071348,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_totaldot,0.25,4,1,15,33,9,,,,4_con_totaldot_image_49.png,49,130.62608095925535,130.87730262569386,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
1_con_circum,0.25,1,1,16,34,12,,,,1_con_circum_image_28.png,28,130.98557125116932,131.23654129171047,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_totaldot,0.25,3,1,17,35,8,,,,3_con_totaldot_image_47.png,47,131.34271879218286,131.59406775074314,5.wav,131.69624820898753,1.mp4,131.69624820898753,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_circum,0.25,4,2,0,36,15,,,,4_con_circum_image_14.png,14,133.5192930873949,133.76952420874733,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
6_con_totaldot,0.25,6,2,1,37,11,,,,6_con_totaldot_image_11.png,11,133.87576104215114,134.12937579165447,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
4_con_singledot,0.25,4,2,2,38,3,,,,4_con_singledot_image_44.png,44,134.23741370920325,134.48663700070466,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
3_con_singledot,0.25,3,2,3,39,2,,,,3_con_singledot_image_59.png,59,134.5929234591662,134.84452729172773,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
5_con_totaldot,0.25,5,2,4,40,10,,,,5_con_totaldot_image_50.png,50,134.95204254220008,135.20333712572466,,,,,1,1,2024-10-25_15h37.52.761,visual,2024.1.5,123.26434858741311,
