condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
2_con_duration,0.26,2,0,0,0,1,,,20.35341887499817,21.42190797500043,21.68855730900068,21.78938633400321,22.0549423919987,,,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
1_con_rate,0.02,1,0,1,1,6,,,,22.850371367018667,22.86940809999978,,,,,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
4_con_rate,0.02,4,0,2,2,9,,,,23.664837075019747,23.685379349998037,23.78620837500057,23.807841808997544,23.908670834000077,23.932360183997297,24.03318920899983,24.055392474998733,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
4_con_duration,0.08,4,0,3,3,3,,,,24.8508214500187,24.938657308998152,25.039486334000685,25.121711308999146,25.22254033400168,25.30505826700064,25.40588729200317,25.488315599999986,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
3_con_rate,0.02,3,0,4,4,8,,,,26.283744575019952,26.31088401699926,26.411713042001793,26.431696391999502,26.532525417002034,26.55348568399895,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
5_con_duration,0.044,5,0,5,5,4,,,,27.348914659018916,27.397972266997748,27.49880129200028,27.54659464199758,27.647423667000112,27.696607725000284,27.797436750002817,27.845877141997697,27.94670616700023,27.989712224997128,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
6_con_duration,0.02,6,0,6,6,5,,,,28.796344425017377,28.822082891998797,28.92291191700133,28.9451022670004,29.045931292002933,29.066942099998776,29.16777112500131,29.19135534999841,29.292184375000943,29.318398141997385,29.419227166999917,29.44269209999802,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
1_con_duration,0.62,1,0,7,7,0,,,,30.238121075017986,30.858400016997983,,,,,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
5_con_rate,0.02,5,0,8,8,10,,,,31.665032217018233,31.69045597500044,31.791285000002972,31.810951308998845,31.911780334001378,31.932629641997117,32.03345866699965,32.054208599999036,32.15503762500157,32.17493022499948,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
2_con_rate,0.02,2,0,9,9,7,,,,32.970359200019445,32.989591933998234,33.09042095900077,33.11158447499874,,,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
3_con_duration,0.14,3,0,10,10,2,,,,33.90701345001871,34.046332558999346,34.14716158400188,34.288521058999684,34.38935008400222,34.529770683999594,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
6_con_rate,0.02,6,0,11,11,11,,,,35.32519965901956,35.35188847499776,35.45271750000029,35.47285118400068,35.573680209003214,35.59447347499772,35.69530250000025,35.71566293399919,35.81649195900172,35.83752955899799,35.938358584000525,35.95843051699958,1.wav,36.75293166699703,13.mp4,36.75293166699703,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
6_con_duration,0.02,6,1,0,12,5,,,,38.592975367017786,38.613366308997136,38.71419533399967,38.73485851700061,38.83568754200314,38.85658222499878,38.957411250001314,38.9819676839983,39.08279670900083,39.104333141997266,39.2051621669998,39.22490201699875,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
4_con_rate,0.02,4,1,1,13,9,,,,40.020330992018714,40.03960447499812,40.140433500000654,40.16180468399798,40.26263370900051,40.283162599997375,40.38399162499991,40.40560993399813,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
3_con_duration,0.14,3,1,2,14,2,,,,41.201038909018095,41.34644826699914,41.44727729200167,41.588663558999905,41.68949258400244,41.82967676700027,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
3_con_rate,0.02,3,1,3,15,8,,,,42.62510574202024,42.6516403919999,42.75246941700243,42.772391349997996,42.87322037500053,42.893935641998176,,,,,,,,,,,1,1,2024-10-03_11h32.17.739,audio,2024.1.5,97.14345682248016,
