condition,single_duration,numerosity,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,text_welcome.started,beep_1.started,beep_1.stopped,beep_2.started,beep_2.stopped,beep_3.started,beep_3.stopped,beep_4.started,beep_4.stopped,beep_5.started,beep_5.stopped,beep_6.started,beep_6.stopped,audio_name,audio_started,movie_name,movie_started,participant,session,date|hid,expName|hid,psychopyVersion|hid,frameRate,
4_con_duration,0.08,4,0,0,0,3,,,14.57849812500001,18.082805996200033,18.165996704199994,18.271426108800075,18.35964928720001,18.46507869180009,18.549567871200008,18.65499727580009,18.742813079200015,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
4_con_rate,0.02,4,0,1,1,9,,,,19.54569854500062,19.57636395420003,19.68179335880011,19.709356621200083,19.814786025800164,19.842870371200103,19.948299775800184,19.976264662200048,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
3_con_rate,0.02,3,0,2,2,8,,,,20.77915012800065,20.80945916220004,20.91488856680012,20.942910121200054,21.048339525800134,21.076231037200056,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
2_con_duration,0.26,2,0,3,3,1,,,,21.87911650300066,22.1426854962,22.24811490080008,22.509731829200074,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
5_con_rate,0.02,5,0,4,4,10,,,,23.312617295000678,23.343096037199995,23.448525441800076,23.476257412200095,23.581686816800175,23.609875746200043,23.715305150800123,23.743088412200006,23.848517816800086,23.87624653720003,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
6_con_duration,0.02,6,0,5,5,5,,,,24.679132003000632,24.709421954200035,24.814851358800116,24.84295349620005,24.94838290080013,24.97625424620004,25.08168365080012,25.109758412200005,25.215187816800086,25.2429614122001,25.34028086260017,25.363122329200007,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
6_con_rate,0.02,6,0,6,6,11,,,,26.16600779500061,26.19298116220001,26.29841056680009,26.326748162200044,26.424067612600115,26.44599820420002,26.5514276088001,26.57646982920006,26.68189923380014,26.709486537200075,26.814915941800155,26.84333732920005,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
3_con_duration,0.14,3,0,7,7,2,,,,27.646222795000654,27.793066287200087,27.898495691800168,28.042986329200073,28.148415733800153,28.29359474620004,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
1_con_duration,0.62,1,0,8,8,0,,,,29.096480212000642,29.71808982920005,,,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
1_con_rate,0.02,1,0,9,9,6,,,,30.520975295000653,30.54510070420009,,,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
5_con_duration,0.044,5,0,10,10,4,,,,31.347986170000695,31.393068829200057,31.498498233800138,31.542981537200045,31.648410941800126,31.693138162200068,31.79856756680015,31.842930621200036,31.948360025800117,31.992993121200026,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
2_con_rate,0.02,2,0,11,11,7,,,,32.79587858700063,32.82652316220005,34.97145312120007,34.994402954200055,,,,,,,,,3.wav,35.792312958000025,14.mp4,35.792312958000025,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
3_con_duration,0.14,3,1,0,12,2,,,,37.63468546580065,37.77667949620003,37.88210890080011,41.321589454200094,41.418908904600165,41.559848912199996,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
1_con_rate,0.02,1,1,1,13,6,,,,42.362734378000596,42.39332995420001,,,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
1_con_duration,0.62,1,1,2,14,0,,,,43.19621542000061,43.81843307920009,,,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
5_con_rate,0.02,5,1,3,15,10,,,,44.62131854500069,44.6457787042,44.75120810880008,44.77682887120001,44.88225827580009,44.91020387120001,45.01563327580009,45.04355962120009,45.14898902580017,45.17705541220006,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
2_con_rate,0.02,2,1,4,16,7,,,,45.97994087800066,46.010470121200015,46.115899525800096,46.14363670420006,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
6_con_duration,0.02,6,1,5,17,5,,,,46.94652217000066,46.976825996200105,47.082255400800186,47.10995732920004,47.21538673380012,47.24351312120008,47.34894252580016,47.37681774620002,47.4822471508001,47.51012607920008,47.61555548380016,47.6438668712001,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
2_con_duration,0.26,2,1,6,18,1,,,,48.4467523370007,48.70999653720004,48.81542594180012,49.07685299620006,,,,,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
4_con_rate,0.02,4,1,7,19,9,,,,49.87973846200066,49.9101618712,50.015591275800084,50.0436836212,50.149113025800084,50.1769601622001,50.282389566800184,50.3103439122,,,,,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
6_con_rate,0.02,6,1,8,20,11,,,,52.61702978720008,52.64359907920006,52.74902848380014,52.77691078720001,52.88234019180009,52.9103109542,53.01574035880008,53.04360082920006,53.14903023380014,53.17689112120003,53.28232052580011,53.310240329200056,,,,,1,1,2024-10-02_13h56.26.299,audio,2024.1.5,120.32385116404559,
,,,,,,,,,,54.113125795000656,54.14392745420004,54.24935685880012,54.27703503720001,54.38246444180009,54.410235954200076,,,,,,,,,,,,,,,,,
